Run,Population Member,Composite Fitness, Absolute Fitness
1,0,2.49273,2.19
1,1,2.55545,2.87
1,2,2.56727,2.81
1,3,2.53727,2.72
1,4,2.64636,2.97
1,5,2.53182,2.26
1,6,2.66091,2.97
1,7,2.58273,2.77
1,8,2.56818,2.03
1,9,2.49909,2.71
1,10,2.52636,2.57
1,11,2.53455,2.65
1,12,2.58545,2.18
1,13,2.56636,2.9
1,14,2.60182,2.57
1,15,2.56818,2.67
1,16,2.52455,2.97
1,17,2.80909,2.97
1,18,2.59273,2.31
1,19,2.58091,2.31
1,20,2.65182,2.97
1,21,2.51545,2.29
1,22,2.57909,2.37
1,23,2.6,2.97
1,24,2.59091,2.97
1,25,2.51273,2.31
1,26,2.59909,2.9
1,27,2.71545,2.49
1,28,2.55273,2.69
1,29,2.58636,2.79
1,30,2.59455,2.49
1,31,2.72455,2.77
1,32,2.62727,2.82
1,33,2.62091,2.49
1,34,2.61,2.57
1,35,2.62273,2.97
1,36,2.57545,2.97
1,37,2.65727,2.84
1,38,2.57364,2.49
1,39,2.75364,2.97
1,40,2.61273,2.51
1,41,2.67091,2.59
1,42,2.63636,2.7
1,43,2.57273,2.97
1,44,2.67,2.39
1,45,2.65273,2.17
1,46,2.55909,2.95
1,47,2.51545,2.77
1,48,2.55727,2.97
1,49,2.51,2.57
1,50,2.55091,2.47
1,51,2.50273,2.67
1,52,2.60818,2.97
1,53,2.65727,2.15
1,54,2.64273,2.97
1,55,2.54636,2.44
1,56,2.69091,2.97
1,57,2.69636,2.49
1,58,2.60818,2.78
1,59,2.61818,2.59
1,60,2.61364,2.19
1,61,2.51909,2.21
1,62,2.66455,2.69
1,63,2.63091,2.21
1,64,2.56,2.58
1,65,2.53182,2.8
1,66,2.60909,2.97
1,67,2.54273,2.97
1,68,2.52182,2.79
1,69,2.73727,2.13
1,70,2.53727,1.59
1,71,2.52455,2.77
1,72,2.57273,2.35
1,73,2.49545,2.27
1,74,2.71818,2.97
1,75,2.57545,2.39
1,76,2.53818,1.96
1,77,2.49455,1.95
1,78,2.57818,2.69
1,79,2.49636,2.77
1,80,2.63273,2.97
1,81,2.49818,2.31
1,82,2.54182,2.15
1,83,2.72909,2.47
1,84,2.64455,2.54
1,85,2.58091,2.43
1,86,2.69364,2.87
1,87,2.55364,2.09
1,88,2.58091,2.15
1,89,2.55455,2.97
1,90,2.51909,2.29
1,91,2.60909,2.97
1,92,2.49818,2.59
1,93,2.66636,2.87
1,94,2.51636,2.49
1,95,2.5,2.21
1,96,2.57455,1.71
1,97,2.69818,2.97
1,98,2.53545,2.29
1,99,2.51182,2.73
2,0,2.49,2.49
2,1,2.49,2.49
2,2,2.49,2.49
2,3,2.49,2.49
2,4,2.49,2.49
2,5,2.49,2.49
2,6,2.49,2.49
2,7,2.49,2.49
2,8,2.49,2.49
2,9,2.49,2.49
2,10,2.47182,2.49
2,11,2.49,2.49
2,12,2.49,2.49
2,13,2.49,2.49
2,14,2.49,2.49
2,15,2.49,2.49
2,16,2.49,2.49
2,17,2.49,2.49
2,18,2.49,2.49
2,19,2.49,2.49
2,20,2.49,2.49
2,21,2.49,2.49
2,22,2.49,2.49
2,23,2.49,2.49
2,24,2.49,2.49
2,25,2.49,2.49
2,26,2.49,2.49
2,27,2.49,2.49
2,28,2.49,2.49
2,29,2.49,2.49
2,30,2.49,2.49
2,31,2.49,2.49
2,32,2.49,2.49
2,33,2.49,2.49
2,34,2.49,2.49
2,35,2.49,2.49
2,36,2.49,2.49
2,37,2.49,2.49
