Run,Population Member,Composite Fitness, Absolute Fitness
2,38,2.49,2.49
2,39,2.49,2.49
2,40,2.49,2.49
2,41,2.49,2.49
2,42,2.49,2.49
2,43,2.49,2.49
2,44,2.49,2.49
2,45,2.49,2.49
2,46,2.49,2.49
2,47,2.49,2.49
2,48,2.49,2.49
2,49,2.49,2.49
2,50,2.49,2.49
2,51,2.49,2.49
2,52,2.49,2.49
2,53,2.49,2.49
2,54,2.49,2.49
2,55,2.49,2.49
2,56,2.49,2.49
2,57,2.49,2.49
2,58,2.49,2.49
2,59,2.49,2.49
2,60,2.49,2.49
2,61,2.49,2.49
2,62,2.49,2.49
2,63,2.49,2.49
2,64,2.49,2.49
2,65,2.49,2.49
2,66,2.49,2.49
2,67,2.49,2.49
2,68,2.49,2.49
2,69,2.49,2.49
2,70,2.49,2.49
2,71,2.49,2.49
2,72,2.49,2.49
2,73,2.49,2.49
2,74,2.49,2.49
2,75,2.49,2.49
2,76,2.49,2.49
2,77,2.49,2.49
2,78,2.49,2.49
2,79,2.49,2.49
2,80,2.49,2.49
2,81,2.49,2.49
2,82,2.49,2.49
2,83,2.49,2.49
2,84,2.49,2.49
2,85,2.49,2.49
2,86,2.49,2.49
2,87,2.49,2.49
2,88,2.49,2.49
2,89,2.49,2.49
2,90,2.49,2.49
2,91,2.49,2.49
2,92,2.49,2.49
2,93,2.49,2.49
2,94,2.49,2.49
2,95,2.49,2.49
2,96,2.49,2.49
2,97,2.49,2.49
2,98,2.49,2.49
2,99,2.49,2.49
3,0,2.63818,2.97
3,1,2.75909,2.63
3,2,2.78727,2.97
3,3,2.64182,2.97
3,4,2.73182,2.97
3,5,2.67909,2.97
3,6,2.79818,2.57
3,7,2.76273,2.97
3,8,2.70545,2.97
3,9,2.63636,2.57
3,10,2.72636,2.97
3,11,2.69636,2.94
3,12,2.68455,2.43
3,13,2.64818,2.57
3,14,2.78455,2.92
3,15,2.71909,2.75
3,16,2.65091,2.68
3,17,2.73273,2.97
3,18,2.81909,2.47
3,19,2.83909,2.97
3,20,2.69909,2.97
3,21,2.73455,2.11
3,22,2.83909,2.33
3,23,2.76364,2.61
3,24,2.67273,2.88
3,25,2.70091,2.97
3,26,2.67455,2.97
3,27,2.65273,2.97
3,28,2.68818,2.95
3,29,2.64182,2.97
3,30,2.70273,2.86
3,31,2.78545,2.97
3,32,2.71182,2.97
3,33,2.72545,2.61
3,34,2.67545,2.35
3,35,2.68182,2.97
3,36,2.66273,2.57
3,37,2.80909,2.97
3,38,2.82364,2.55
3,39,2.75,2.97
3,40,2.73364,2.97
3,41,2.69818,2.77
3,42,2.67545,2.57
3,43,2.84455,2.95
3,44,2.70273,2.95
3,45,2.63909,2.31
3,46,2.65364,2.33
3,47,2.65,2.23
3,48,2.81364,2.97
3,49,2.76545,2.97
3,50,2.68364,2.97
3,51,2.72455,2.96
3,52,2.76273,2.97
3,53,2.67,2.27
3,54,2.64545,2.43
3,55,2.68818,2.93
3,56,2.71364,2.97
3,57,2.86273,2.97
3,58,2.73727,2.57
3,59,2.66273,2.09
3,60,2.68091,2.97
3,61,2.70818,2.47
3,62,2.70455,2.97
3,63,2.77455,2.97
3,64,2.73364,2.97
3,65,2.68636,2.97
3,66,2.69182,2.67
3,67,2.74818,2.97
3,68,2.65455,1.73
3,69,2.70364,2.15
3,70,2.71727,2.96
3,71,2.71182,2.97
3,72,2.64909,2.67
3,73,2.66364,2.57
3,74,2.81273,2.97
3,75,2.74091,2.46
3,76,2.83182,2.97
3,77,2.72545,2.97
3,78,2.70909,2.21
3,79,2.67182,2.04
3,80,2.72636,2.54
3,81,2.79818,2.69
3,82,2.69909,1.69
3,83,2.81364,2.97
3,84,2.66273,2.97
3,85,2.72455,2.37
3,86,2.72091,2.45
3,87,2.72364,2.24
3,88,2.65636,2.29
3,89,2.77182,2.97
3,90,2.69455,2.97
3,91,2.72455,2.95
3,92,2.7,2.97
3,93,2.74727,2.79
3,94,2.74636,2.29
3,95,2.77909,2.69
3,96,2.69909,2.97
3,97,2.72545,2.18
3,98,2.71,1.69
3,99,2.67,2.75
