	coevSamp           = 10
	d                  = 10
	evals              = 10000
	k                  = 5
	l                  = 30
	lambda             = 50
	logfile            = ./log/default.txt
	mu                 = 100
	mutation           = 0.05
	p                  = 0.01
	parentSelection    = 1
	rerandmem          = 5
	runs               = 30
	seed               = 2905565739
	seedType           = 1
	solutionfile       = ./sln/default.txt
	survivalK          = 40
	survivalSelection  = 1
	survivalStrat      = 1
	termTest           = 0
	unchanged          = 200

Run 1
2000	2.664	2.871
2050	2.680	2.875
2100	2.667	2.878
2150	2.686	2.878
2200	2.700	2.878
2250	2.699	2.878
2300	2.689	2.878
2350	2.697	2.878
2400	2.674	2.878
2450	2.663	2.878
2500	2.666	2.878
2550	2.660	2.878
2600	2.654	2.878
2650	2.649	2.878
2700	2.655	2.878
2750	2.670	2.878
2800	2.662	2.878
2850	2.659	2.878
2900	2.649	2.878
2950	2.653	2.878
3000	2.650	2.878
3050	2.633	2.878
3100	2.600	2.878
3150	2.641	2.878
3200	2.654	2.878
3250	2.631	2.878
3300	2.613	2.878
3350	2.619	2.878
3400	2.611	2.878
3450	2.642	2.878
3500	2.625	2.878
3550	2.619	2.878
3600	2.636	2.878
3650	2.650	2.878
3700	2.655	2.878
3750	2.642	2.878
3800	2.613	2.878
3850	2.694	2.878
3900	2.671	2.878
3950	2.627	2.878
4000	2.675	2.878
4050	2.660	2.878
4100	2.673	2.889
4150	2.672	2.889
4200	2.641	2.889
4250	2.611	2.889
4300	2.588	2.889
4350	2.614	2.889
4400	2.651	2.889
4450	2.648	2.889
4500	2.652	2.889
4550	2.632	2.889
4600	2.628	2.889
4650	2.641	2.889
4700	2.682	2.889
4750	2.669	2.889
4800	2.644	2.889
4850	2.609	2.889
4900	2.624	2.889
4950	2.633	2.889
5000	2.665	2.889
5050	2.698	2.889
5100	2.711	2.895
5150	2.668	2.895
5200	2.646	2.895
5250	2.662	2.895
5300	2.638	2.907
5350	2.663	2.907
5400	2.664	2.907
5450	2.656	2.907
5500	2.660	2.907
5550	2.659	2.907
5600	2.676	2.907
5650	2.684	2.907
5700	2.681	2.907
5750	2.645	2.907
5800	2.640	2.907
5850	2.658	2.907
5900	2.657	2.907
5950	2.647	2.907
6000	2.635	2.907
6050	2.607	2.907
6100	2.584	2.907
6150	2.594	2.907
6200	2.584	2.907
6250	2.579	2.907
6300	2.622	2.907
6350	2.594	2.907
6400	2.561	2.907
6450	2.555	2.907
6500	2.572	2.907
6550	2.618	2.907
6600	2.637	2.907
6650	2.627	2.907
6700	2.595	2.907
6750	2.614	2.907
6800	2.648	2.907
6850	2.621	2.907
6900	2.630	2.907
6950	2.584	2.907
7000	2.572	2.907
7050	2.609	2.907
7100	2.598	2.907
7150	2.554	2.907
7200	2.576	2.907
7250	2.597	2.907
7300	2.604	2.907
7350	2.631	2.907
7400	2.662	2.907
7450	2.657	2.907
7500	2.654	2.907
7550	2.650	2.907
7600	2.661	2.907
7650	2.654	2.907
7700	2.681	2.907
7750	2.703	2.907
7800	2.713	2.907
7850	2.696	2.907
7900	2.682	2.907
7950	2.691	2.907
8000	2.698	2.907
8050	2.707	2.950
8100	2.679	2.950
8150	2.641	2.950
8200	2.625	2.950
8250	2.612	2.950
8300	2.622	2.950
8350	2.644	2.950
8400	2.602	2.950
8450	2.623	2.950
8500	2.653	2.950
8550	2.642	2.950
8600	2.673	2.950
8650	2.665	2.950
8700	2.687	2.950
8750	2.647	2.950
8800	2.656	2.950
8850	2.659	2.950
8900	2.629	2.950
8950	2.667	2.950
9000	2.619	2.950
9050	2.644	2.950
9100	2.618	2.950
9150	2.584	2.950
9200	2.621	2.950
9250	2.594	2.950
9300	2.576	2.950
9350	2.564	2.950
9400	2.577	2.950
9450	2.551	2.950
9500	2.575	2.950
9550	2.552	2.950
9600	2.546	2.950
9650	2.540	2.950
9700	2.543	2.950
9750	2.538	2.950
9800	2.496	2.950
9850	2.470	2.950
9900	2.489	2.950
9950	2.553	2.950
10000	2.603	2.950

Absolute Fitness
2.960

Run 3
150	-1.053	1.259
200	-0.213	1.972
250	0.434	1.972
300	0.828	2.185
350	1.441	2.185
400	1.882	2.342
450	2.064	2.399
500	2.201	2.399
550	2.269	2.405
600	2.318	2.512
650	2.314	2.512
700	2.339	2.512
750	2.350	2.512
800	2.378	2.512
850	2.403	2.515
900	2.421	2.606
950	2.430	2.606
1000	2.421	2.606
1050	2.444	2.606
1100	2.441	2.606
1150	2.449	2.606
1200	2.431	2.606
1250	2.469	2.606
1300	2.495	2.606
1350	2.515	2.613
1400	2.482	2.613
1450	2.495	2.617
1500	2.516	2.625
1550	2.526	2.626
1600	2.531	2.652
1650	2.540	2.696
1700	2.554	2.710
1750	2.575	2.710
1800	2.575	2.710
1850	2.570	2.710
1900	2.561	2.710
1950	2.597	2.733
2000	2.604	2.733
2050	2.618	2.733
2100	2.604	2.733
2150	2.607	2.765
2200	2.609	2.803
2250	2.617	2.803
2300	2.627	2.803
2350	2.594	2.803
2400	2.613	2.803
2450	2.609	2.803
2500	2.619	2.803
2550	2.597	2.803
2600	2.581	2.803
2650	2.609	2.803
2700	2.650	2.806
2750	2.665	2.806
2800	2.664	2.828
2850	2.645	2.828
2900	2.654	2.828
2950	2.633	2.828
3000	2.630	2.828
3050	2.619	2.828
3100	2.624	2.828
3150	2.659	2.828
3200	2.659	2.853
3250	2.690	2.853
3300	2.714	2.889
3350	2.679	2.889
3400	2.679	2.889
3450	2.658	2.889
3500	2.671	2.889
3550	2.662	2.889
3600	2.649	2.889
3650	2.670	2.889
3700	2.681	2.889
3750	2.638	2.889
3800	2.619	2.889
3850	2.621	2.889
3900	2.600	2.889
3950	2.623	2.889
4000	2.638	2.889
4050	2.610	2.889
4100	2.607	2.889
4150	2.608	2.889
4200	2.614	2.889
4250	2.648	2.889
4300	2.639	2.889
4350	2.654	2.889
4400	2.654	2.889
4450	2.630	2.889
4500	2.647	2.889
4550	2.641	2.889
4600	2.643	2.889
4650	2.666	2.889
4700	2.678	2.889
4750	2.689	2.889
4800	2.686	2.889
4850	2.681	2.908
4900	2.684	2.908
4950	2.697	2.908
5000	2.668	2.908
5050	2.647	2.908
5100	2.665	2.908
5150	2.674	2.908
5200	2.666	2.908
5250	2.692	2.908
5300	2.693	2.908
5350	2.699	2.908
5400	2.701	2.908
5450	2.644	2.908
5500	2.639	2.908
5550	2.654	2.908
5600	2.640	2.908
5650	2.624	2.908
5700	2.640	2.908
5750	2.640	2.908
5800	2.590	2.908
5850	2.618	2.908
5900	2.609	2.908
5950	2.617	2.908
6000	2.646	2.908
6050	2.645	2.908
6100	2.659	2.908
6150	2.650	2.908
6200	2.654	2.908
6250	2.637	2.908
6300	2.662	2.908
6350	2.650	2.908
6400	2.608	2.908
6450	2.595	2.908
6500	2.635	2.908
6550	2.634	2.908
6600	2.677	2.908
6650	2.648	2.908
6700	2.644	2.908
6750	2.660	2.908
6800	2.667	2.908
6850	2.652	2.908
6900	2.642	2.908
6950	2.671	2.941
7000	2.673	2.941
7050	2.671	2.941
7100	2.678	2.941
7150	2.672	2.941
7200	2.684	2.941
7250	2.694	2.941
7300	2.658	2.941
7350	2.681	2.941
7400	2.666	2.941
7450	2.703	2.941
7500	2.707	2.941
7550	2.669	2.941
7600	2.704	2.941
7650	2.754	2.941
7700	2.753	2.941
7750	2.709	2.941
7800	2.733	2.941
7850	2.761	2.941
7900	2.720	2.941
7950	2.720	2.941
8000	2.703	2.941
8050	2.665	2.941
8100	2.679	2.941
8150	2.721	2.941
8200	2.718	2.941
8250	2.698	2.941
8300	2.693	2.941
8350	2.689	2.941
8400	2.711	2.941
8450	2.726	2.959
8500	2.751	2.959
8550	2.756	2.959
8600	2.764	2.959
8650	2.763	2.959
8700	2.732	2.959
8750	2.737	2.959
8800	2.698	2.959
8850	2.701	2.959
8900	2.700	2.959
8950	2.689	2.959
9000	2.697	2.959
9050	2.671	2.959
9100	2.672	2.959
9150	2.679	2.959
9200	2.731	2.959
9250	2.762	2.959
9300	2.738	2.959
9350	2.704	2.959
9400	2.658	2.959
9450	2.656	2.959
9500	2.655	2.959
9550	2.618	2.959
9600	2.605	2.959
9650	2.616	2.959
9700	2.612	2.959
9750	2.608	2.959
9800	2.649	2.959
9850	2.684	2.959
9900	2.684	2.959
9950	2.718	2.959
10000	2.694	2.959

Absolute Fitness
2.950

Run 4
150	-0.065	1.770
200	0.625	2.014
250	1.194	2.158
300	1.728	2.219
350	1.972	2.324
400	2.097	2.400
450	2.230	2.436
500	2.266	2.493
550	2.318	2.493
600	2.335	2.493
650	2.354	2.493
700	2.386	2.524
750	2.398	2.524
800	2.462	2.709
850	2.489	2.709
900	2.481	2.709
950	2.500	2.709
1000	2.493	2.709
1050	2.521	2.765
1100	2.496	2.765
1150	2.510	2.765
1200	2.482	2.765
1250	2.538	2.765
1300	2.575	2.769
1350	2.581	2.769
1400	2.529	2.769
1450	2.553	2.769
1500	2.567	2.769
1550	2.576	2.769
1600	2.578	2.790
1650	2.606	2.832
1700	2.632	2.875
1750	2.631	2.875
1800	2.652	2.875
1850	2.652	2.875
1900	2.654	2.875
1950	2.613	2.875
2000	2.636	2.875
2050	2.620	2.875
2100	2.653	2.875
2150	2.686	2.875
2200	2.657	2.875
2250	2.649	2.875
2300	2.680	2.875
2350	2.626	2.893
2400	2.612	2.893
2450	2.609	2.893
2500	2.611	2.893
2550	2.602	2.893
2600	2.646	2.893
2650	2.638	2.893
2700	2.621	2.893
2750	2.604	2.893
2800	2.618	2.893
2850	2.613	2.893
2900	2.613	2.893
2950	2.663	2.893
3000	2.640	2.893
3050	2.640	2.893
3100	2.617	2.924
3150	2.623	2.924
3200	2.634	2.924
3250	2.623	2.924
3300	2.569	2.924
3350	2.586	2.924
3400	2.612	2.924
3450	2.617	2.924
3500	2.670	2.924
3550	2.646	2.924
3600	2.637	2.924
3650	2.613	2.924
3700	2.622	2.924
3750	2.565	2.924
3800	2.599	2.924
3850	2.618	2.924
3900	2.595	2.924
3950	2.579	2.924
4000	2.583	2.924
4050	2.613	2.924
4100	2.640	2.924
4150	2.589	2.924
4200	2.595	2.924
4250	2.624	2.924
4300	2.576	2.924
4350	2.600	2.924
4400	2.569	2.924
4450	2.587	2.924
4500	2.591	2.924
4550	2.559	2.924
4600	2.599	2.924
4650	2.630	2.924
4700	2.663	2.924
4750	2.643	2.924
4800	2.693	2.924
4850	2.635	2.924
4900	2.606	2.924
4950	2.609	2.924
5000	2.602	2.924
5050	2.539	2.924
5100	2.564	2.924
5150	2.587	2.924
5200	2.586	2.924
5250	2.599	2.924
5300	2.593	2.924
5350	2.563	2.924
5400	2.543	2.924
5450	2.555	2.924
5500	2.522	2.924
5550	2.508	2.924
5600	2.582	2.924
5650	2.531	2.924
5700	2.540	2.924
5750	2.537	2.924
5800	2.533	2.924
5850	2.515	2.924
5900	2.511	2.924
5950	2.542	2.924
6000	2.547	2.924
6050	2.569	2.924
6100	2.597	2.924
6150	2.605	2.924
6200	2.583	2.924
6250	2.593	2.924
6300	2.553	2.924
6350	2.554	2.924
6400	2.585	2.924
6450	2.548	2.924
6500	2.587	2.924
6550	2.585	2.924
6600	2.607	2.924
6650	2.603	2.924
6700	2.613	2.924
6750	2.590	2.924
6800	2.588	2.924
6850	2.572	2.924
6900	2.602	2.924
6950	2.591	2.924
7000	2.550	2.924
7050	2.575	2.924
7100	2.588	2.924
7150	2.576	2.924
7200	2.516	2.924
7250	2.488	2.924
7300	2.520	2.924
7350	2.514	2.924
7400	2.496	2.924
7450	2.502	2.924
7500	2.536	2.924
7550	2.529	2.924
7600	2.544	2.924
7650	2.525	2.924
7700	2.535	2.924
7750	2.557	2.924
7800	2.500	2.924
7850	2.524	2.924
7900	2.534	2.924
7950	2.549	2.924
8000	2.582	2.924
8050	2.590	2.924
8100	2.574	2.924
8150	2.573	2.924
8200	2.590	2.924
8250	2.610	2.924
8300	2.619	2.924
8350	2.631	2.924
8400	2.628	2.924
8450	2.599	2.924
8500	2.578	2.924
8550	2.596	2.924
8600	2.607	2.924
8650	2.600	2.924
8700	2.586	2.924
8750	2.598	2.924
8800	2.596	2.924
8850	2.615	2.924
8900	2.617	2.924
8950	2.647	2.924
9000	2.628	2.924
9050	2.618	2.924
9100	2.635	2.924
9150	2.626	2.924
9200	2.600	2.924
9250	2.594	2.924
9300	2.571	2.924
9350	2.588	2.924
9400	2.603	2.924
9450	2.585	2.924
9500	2.533	2.924
9550	2.586	2.924
9600	2.611	2.924
9650	2.605	2.924
9700	2.647	2.924
9750	2.656	2.924
9800	2.635	2.924
9850	2.667	2.924
9900	2.642	2.924
9950	2.621	2.924
10000	2.651	2.924

Absolute Fitness
2.940

Run 5
150	0.071	2.204
200	0.814	2.204
250	1.157	2.204
300	1.735	2.325
350	2.029	2.325
400	2.195	2.393
450	2.246	2.419
500	2.316	2.566
550	2.363	2.566
600	2.399	2.580
650	2.429	2.580
700	2.461	2.614
750	2.485	2.614
800	2.483	2.614
850	2.502	2.677
900	2.506	2.686
950	2.519	2.686
1000	2.530	2.686
1050	2.545	2.689
1100	2.537	2.718
1150	2.534	2.725
1200	2.570	2.730
1250	2.590	2.765
1300	2.624	2.850
1350	2.604	2.850
1400	2.619	2.850
1450	2.629	2.850
1500	2.642	2.850
1550	2.678	2.850
1600	2.673	2.866
1650	2.699	2.866
1700	2.702	2.866
1750	2.709	2.866
1800	2.702	2.866
1850	2.698	2.866
1900	2.693	2.866
1950	2.694	2.866
2000	2.697	2.866
2050	2.725	2.866
2100	2.725	2.866
2150	2.712	2.868
2200	2.719	2.868
2250	2.719	2.878
2300	2.692	2.878
2350	2.712	2.878
2400	2.744	2.878
2450	2.764	2.893
2500	2.786	2.893
2550	2.768	2.901
2600	2.765	2.901
2650	2.779	2.901
2700	2.782	2.902
2750	2.763	2.902
2800	2.718	2.902
2850	2.718	2.902
2900	2.724	2.937
2950	2.749	2.937
3000	2.754	2.937
3050	2.754	2.937
3100	2.773	2.937
3150	2.760	2.937
3200	2.738	2.937
3250	2.760	2.937
3300	2.771	2.937
3350	2.771	2.937
3400	2.760	2.937
3450	2.779	2.937
3500	2.794	2.937
3550	2.779	2.937
3600	2.748	2.937
3650	2.743	2.937
3700	2.732	2.937
3750	2.753	2.937
3800	2.712	2.937
3850	2.764	2.937
3900	2.731	2.937
3950	2.694	2.937
4000	2.676	2.937
4050	2.716	2.937
4100	2.739	2.937
4150	2.733	2.937
4200	2.692	2.937
4250	2.670	2.937
4300	2.680	2.937
4350	2.670	2.937
4400	2.681	2.937
4450	2.668	2.937
4500	2.671	2.937
4550	2.730	2.937
4600	2.737	2.937
4650	2.762	2.937
4700	2.754	2.937
4750	2.729	2.937
4800	2.763	2.937
4850	2.768	2.939
