	coevSamp           = 10
	d                  = 10
	evals              = 10000
	k                  = 5
	l                  = 30
	lambda             = 50
	logfile            = ./log/high_mut.txt
	mu                 = 100
	mutation           = 0.8
	p                  = 0.01
	parentSelection    = 1
	rerandmem          = 5
	runs               = 3
	seed               = 940612102
	seedType           = 1
	solutionfile       = ./sln/high_mut.txt
	survivalK          = 40
	survivalSelection  = 1
	survivalStrat      = 1
	termTest           = 0
	unchanged          = 200

Run 1
3800	2.508	2.777
3850	2.532	2.777
3900	2.516	2.777
3950	2.545	2.777
4000	2.545	2.777
4050	2.575	2.777
4100	2.540	2.777
4150	2.523	2.777
4200	2.501	2.777
4250	2.488	2.777
4300	2.499	2.777
4350	2.470	2.777
4400	2.495	2.777
4450	2.487	2.777
4500	2.472	2.777
4550	2.422	2.777
4600	2.421	2.777
4650	2.444	2.777
4700	2.482	2.777
4750	2.490	2.777
4800	2.472	2.777
4850	2.491	2.777
4900	2.483	2.777
4950	2.494	2.777
5000	2.467	2.777
5050	2.481	2.777
5100	2.487	2.777
5150	2.442	2.777
5200	2.461	2.777
5250	2.430	2.777
5300	2.447	2.777
5350	2.429	2.777
5400	2.455	2.777
5450	2.457	2.777
5500	2.498	2.777
5550	2.482	2.777
5600	2.488	2.777
5650	2.476	2.777
5700	2.454	2.777
5750	2.445	2.777
5800	2.473	2.777
5850	2.510	2.777
5900	2.511	2.777
5950	2.507	2.777
6000	2.498	2.777
6050	2.518	2.777
6100	2.492	2.777
6150	2.474	2.777
6200	2.524	2.777
6250	2.488	2.777
6300	2.472	2.777
6350	2.521	2.777
6400	2.493	2.777
6450	2.501	2.777
6500	2.479	2.777
6550	2.508	2.777
6600	2.472	2.777
6650	2.468	2.777
6700	2.465	2.777
6750	2.500	2.777
6800	2.474	2.777
6850	2.459	2.777
6900	2.490	2.777
6950	2.542	2.777
7000	2.549	2.777
7050	2.522	2.777
7100	2.532	2.777
7150	2.527	2.777
7200	2.537	2.777
7250	2.519	2.777
7300	2.487	2.777
7350	2.503	2.777
7400	2.503	2.777
7450	2.517	2.777
7500	2.543	2.777
7550	2.545	2.777
7600	2.529	2.777
7650	2.515	2.777
7700	2.529	2.777
7750	2.525	2.777
7800	2.535	2.777
7850	2.501	2.777
7900	2.507	2.777
7950	2.497	2.777
8000	2.461	2.777
8050	2.455	2.777
8100	2.478	2.777
8150	2.466	2.777
8200	2.471	2.777
8250	2.483	2.777
8300	2.471	2.777
8350	2.493	2.777
8400	2.507	2.777
8450	2.509	2.777
8500	2.505	2.777
8550	2.481	2.777
8600	2.469	2.777
8650	2.475	2.777
8700	2.483	2.777
8750	2.459	2.777
8800	2.482	2.777
8850	2.467	2.777
8900	2.507	2.777
8950	2.497	2.777
9000	2.484	2.777
9050	2.523	2.815
9100	2.557	2.815
9150	2.548	2.815
9200	2.527	2.815
9250	2.495	2.815
9300	2.497	2.815
9350	2.511	2.815
9400	2.484	2.815
9450	2.508	2.815
9500	2.529	2.815
9550	2.497	2.815
9600	2.497	2.815
9650	2.515	2.815
9700	2.509	2.815
9750	2.517	2.815
9800	2.507	2.815
9850	2.492	2.815
9900	2.528	2.815
9950	2.540	2.815
10000	2.548	2.815

