	coevSamp           = 10
	d                  = 10
	evals              = 10000
	k                  = 5
	l                  = 30
	lambda             = 50
	logfile            = ./log/no_mut.txt
	mu                 = 100
	mutation           = 0
	p                  = 0.01
	parentSelection    = 1
	rerandmem          = 5
	runs               = 3
	seed               = 773228846
	seedType           = 1
	solutionfile       = ./sln/no_mut.txt
	survivalK          = 40
	survivalSelection  = 1
	survivalStrat      = 1
	termTest           = 0
	unchanged          = 200

Run 1
3800	2.563	2.768
3850	2.555	2.768
3900	2.559	2.768
3950	2.581	2.768
4000	2.606	2.768
4050	2.579	2.768
4100	2.565	2.768
4150	2.592	2.768
4200	2.587	2.768
4250	2.591	2.768
4300	2.572	2.768
4350	2.598	2.768
4400	2.599	2.776
4450	2.607	2.776
4500	2.609	2.834
4550	2.600	2.834
4600	2.618	2.834
4650	2.641	2.834
4700	2.637	2.834
4750	2.624	2.834
4800	2.611	2.834
4850	2.587	2.834
4900	2.597	2.834
4950	2.609	2.834
5000	2.614	2.834
5050	2.606	2.834
5100	2.599	2.834
5150	2.602	2.834
5200	2.616	2.834
5250	2.611	2.834
5300	2.598	2.834
5350	2.613	2.834
5400	2.595	2.834
5450	2.601	2.834
5500	2.621	2.834
5550	2.611	2.834
5600	2.570	2.834
5650	2.601	2.834
5700	2.579	2.834
5750	2.557	2.834
5800	2.595	2.834
5850	2.556	2.834
5900	2.557	2.834
5950	2.557	2.834
6000	2.559	2.834
6050	2.598	2.834
6100	2.597	2.834
6150	2.605	2.834
6200	2.621	2.834
6250	2.609	2.834
6300	2.621	2.834
6350	2.628	2.834
6400	2.592	2.834
6450	2.628	2.834
6500	2.600	2.834
6550	2.569	2.834
6600	2.589	2.834
6650	2.570	2.834
6700	2.538	2.834
6750	2.556	2.834
6800	2.563	2.834
6850	2.579	2.834
6900	2.558	2.834
6950	2.599	2.834
7000	2.572	2.834
7050	2.584	2.834
7100	2.550	2.834
7150	2.546	2.834
7200	2.502	2.834
7250	2.536	2.834
7300	2.558	2.834
7350	2.546	2.834
7400	2.528	2.834
7450	2.517	2.834
7500	2.513	2.834
7550	2.513	2.834
7600	2.490	2.834
7650	2.484	2.834
7700	2.489	2.834
7750	2.514	2.834
7800	2.467	2.834
7850	2.502	2.834
7900	2.491	2.834
7950	2.507	2.834
8000	2.480	2.834
8050	2.509	2.834
8100	2.543	2.834
8150	2.545	2.834
8200	2.534	2.834
8250	2.567	2.834
8300	2.535	2.834
8350	2.550	2.834
8400	2.533	2.834
8450	2.518	2.834
8500	2.533	2.834
8550	2.536	2.834
8600	2.558	2.834
8650	2.545	2.834
8700	2.571	2.834
8750	2.499	2.834
8800	2.558	2.834
8850	2.522	2.834
8900	2.540	2.834
8950	2.563	2.835
9000	2.582	2.835
9050	2.567	2.835
9100	2.575	2.835
9150	2.565	2.835
9200	2.576	2.835
9250	2.590	2.835
9300	2.601	2.835
9350	2.580	2.835
9400	2.587	2.835
9450	2.574	2.835
9500	2.570	2.835
9550	2.584	2.867
9600	2.581	2.867
9650	2.611	2.867
9700	2.607	2.867
9750	2.619	2.872
9800	2.592	2.872
9850	2.567	2.872
9900	2.588	2.872
9950	2.611	2.872
10000	2.642	2.872

Absolute Fitness
2.870

Run 3
150	-0.767	1.551
200	0.315	2.044
250	1.219	2.327
300	1.737	2.429
350	1.948	2.482
400	2.228	2.482
450	2.313	2.482
500	2.377	2.551
550	2.406	2.555
600	2.503	2.638
650	2.526	2.674
700	2.573	2.732
750	2.578	2.732
800	2.616	2.773
850	2.578	2.773
900	2.622	2.776
950	2.645	2.805
1000	2.643	2.805
1050	2.630	2.805
1100	2.599	2.832
1150	2.616	2.832
1200	2.600	2.832
1250	2.628	2.832
1300	2.637	2.832
1350	2.657	2.832
1400	2.666	2.832
1450	2.708	2.846
1500	2.709	2.856
1550	2.755	2.865
1600	2.765	2.914
1650	2.737	2.914
1700	2.729	2.914
1750	2.733	2.914
1800	2.720	2.928
1850	2.727	2.928
1900	2.718	2.928
1950	2.715	2.928
2000	2.682	2.928
2050	2.727	2.928
2100	2.733	2.928
2150	2.782	2.928
2200	2.772	2.928
2250	2.733	2.928
2300	2.734	2.933
2350	2.736	2.933
2400	2.730	2.933
2450	2.724	2.933
2500	2.750	2.933
2550	2.725	2.933
2600	2.731	2.933
2650	2.747	2.933
2700	2.748	2.933
2750	2.730	2.960
2800	2.726	2.960
2850	2.722	2.960
2900	2.679	2.960
2950	2.705	2.960
3000	2.692	2.960
3050	2.688	2.960
3100	2.649	2.960
3150	2.670	2.960
3200	2.691	2.960
3250	2.695	2.960
3300	2.725	2.960
3350	2.682	2.960
3400	2.676	2.960
3450	2.698	2.960
3500	2.692	2.960
3550	2.698	2.960
3600	2.658	2.960
3650	2.673	2.960
3700	2.669	2.960
3750	2.626	2.960
3800	2.630	2.960
3850	2.633	2.960
3900	2.604	2.960
3950	2.576	2.960
